Book Name,Author,Rating,Customers_Rated,Href
"
A Narrative of Events, since the First of August, 1834, by James Williams, an Apprenticed Labourer in Jamaica
",James       Williams,4.0,26 rati,https://www.goodreads.com/book/show/1223404.A_Narrative_of_Events_since_the_First_of_August_1834_by_James_Williams_an_Apprenticed_Labourer_in_Jamaica
"
Вечера на хуторе близ Диканьки. Миргород. Ревизор
",Nikolai Gogol,4.4,151 rat,https://www.goodreads.com/book/show/3079471
"
The Philosophy Of Sleep
",Robert D. Macnish,0.0,0 ratin,https://www.goodreads.com/book/show/12023034-the-philosophy-of-sleep
"
The Atheist's Mass
",Honoré de Balzac,3.7,"1,301 r",https://www.goodreads.com/book/show/18938862-the-atheist-s-mass
"
The Works Of Edgar Allan Poe: Narrative Of A. Gordon Pym. [prose Miscellanies
",Edgar Allan Poe,ike,ating —,https://www.goodreads.com/book/show/45405847-the-works-of-edgar-allan-poe
"
The Constitution of Man: Considered in Relation to External Objects
",George Combe,2.6,3 ratin,https://www.goodreads.com/book/show/13068181-the-constitution-of-man
"
Castle Dangerous
",Walter Scott,3.5,85 rati,https://www.goodreads.com/book/show/6484.Castle_Dangerous
"
How to Write a Blackwood Article (Signora Zenobia #1)
",Edgar Allan Poe,3.0,346 rat,https://www.goodreads.com/book/show/7119391-how-to-write-a-blackwood-article
"
An Introduction to Phrenology, in the Form of Question and Answer, With an Appendix, and Copious Illustrative Notes
",Robert D. Macnish,0.0,0 ratin,https://www.goodreads.com/book/show/32002519-an-introduction-to-phrenology-in-the-form-of-question-and-answer-with
"
The Quest Of The Absolute
",Honoré de Balzac,3.7,625 rat,https://www.goodreads.com/book/show/12774754-the-quest-of-the-absolute
"
Hints on Etiquette and the Usages of Society, Adapted to American Society by the Author
",Charles William Day,3.4,27 rati,https://www.goodreads.com/book/show/25176927-hints-on-etiquette-and-the-usages-of-society-adapted-to-american-societ
"
Вий
",Nikolai Gogol,3.9,"4,657 r",https://www.goodreads.com/book/show/9524248
"
The Book of Aphorisms by a Modern Pythagorean
",Robert D. Macnish,eal,0 avg r,https://www.goodreads.com/book/show/30166073-the-book-of-aphorisms-by-a-modern-pythagorean
"
The Red Inn (La Comédie Humaine #82)
",Honoré de Balzac,3.4,775 rat,https://www.goodreads.com/book/show/2366498.The_Red_Inn
"
The Modern Pythagorean, Vol. 2 of 2: A Series of Tales, Essays, and Sketches
",Robert D. Macnish,0.0,0 ratin,https://www.goodreads.com/book/show/36783277-the-modern-pythagorean-vol-2-of-2
"
The Commission In Lunacy
",Honoré de Balzac,3.8,130 rat,https://www.goodreads.com/book/show/7829068-the-commission-in-lunacy
"
The History of Mary Prince: A West Indian Slave Narrative
",Mary Prince,3.7,"2,767 r",https://www.goodreads.com/book/show/272058.The_History_of_Mary_Prince
"
The Collection Of Antiquities
",Honoré de Balzac,3.6,143 rat,https://www.goodreads.com/book/show/6282585-the-collection-of-antiquities
"
Silence: A Fable
",Edgar Allan Poe,3.2,"1,182 r",https://www.goodreads.com/book/show/10095545-silence
"
Indian Creek Massacre and Captivity of Hall Girls (1915)
",Charles Martin Scanlan,4.1,20 rati,https://www.goodreads.com/book/show/51503078-indian-creek-massacre-and-captivity-of-hall-girls
"
The Old Maid / The Cabinet Of Antiquities
",Honoré de Balzac,3.4,84 rati,https://www.goodreads.com/book/show/10848038-the-old-maid-the-cabinet-of-antiquities
"
The Personal Narrative of James O. Pattie of Kentucky
",James Ohio Pattie,4.1,418 rat,https://www.goodreads.com/book/show/41207850-the-personal-narrative-of-james-o-pattie-of-kentucky
"
Narrative of the Capture and Subsequent Sufferings of Mrs. Rachel Plummer During a Captivity of Twenty-one Months Among the Comanche Indians (1839)
",Rachel Plummer,3.5,40 rati,https://www.goodreads.com/book/show/45844946-narrative-of-the-capture-and-subsequent-sufferings-of-mrs-rachel-plumme
"
History of the Reign of Ferdinand and Isabella, the Catholic - Volume I
",William Hickling Prescott,3.8,28 rati,https://www.goodreads.com/book/show/5024555-history-of-the-reign-of-ferdinand-and-isabella-the-catholic---volume-i
"
Narrative of the Riots at Alton (1838)
",Edward Beecher,t w, avg ra,https://www.goodreads.com/book/show/54632146-narrative-of-the-riots-at-alton
"
Village Evenings Near Dikanka and Mirgorod
",Nikolai Gogol,4.2,"9,915 r",https://www.goodreads.com/book/show/195680.Village_Evenings_Near_Dikanka_and_Mirgorod
"
The Valley Of Unrest
",Edgar Allan Poe,3.5,143 rat,https://www.goodreads.com/book/show/24646805-the-valley-of-unrest
"
Η Βαβυλωνία
",D.K. Vyzantios,3.8,35 rati,https://www.goodreads.com/book/show/12721991
